tanggal,harga_pred,harga_lower,harga_upper,komoditas,sumber_model,status,sudah_lewat
2026-06-21,54075.15657620042,50152.361983489944,57997.95116891089,bawang_merah,naive_drift,tervalidasi,True
2026-06-28,54125.313152400835,48577.643836985844,59672.982467815826,bawang_merah,naive_drift,tervalidasi,True
2026-07-05,54175.46972860125,47380.990186370254,60969.94927083225,bawang_merah,naive_drift,tervalidasi,False
2026-07-12,54225.62630480167,46380.03711938072,62071.21549022262,bawang_merah,naive_drift,tervalidasi,False
2026-07-19,54275.78288100209,45504.14750993287,63047.41825207131,bawang_merah,naive_drift,tervalidasi,False
2026-07-26,54325.939457202505,44717.09433931289,63934.78457509212,bawang_merah,naive_drift,tervalidasi,False
2026-08-02,54376.09603340292,43997.3570967021,64754.834970103744,bawang_merah,naive_drift,tervalidasi,False
2026-08-09,54426.25260960334,43330.91397877336,65521.59124043332,bawang_merah,naive_drift,tervalidasi,False
2026-08-16,54476.40918580376,42708.025407672336,66244.79296393518,bawang_merah,naive_drift,tervalidasi,False
2026-08-23,54526.565762004175,42121.60005604653,66931.53146796182,bawang_merah,naive_drift,tervalidasi,False
2026-08-30,54576.72233820459,41566.28454454892,67587.16013186026,bawang_merah,naive_drift,tervalidasi,False
2026-09-06,54626.87891440501,41037.91982994301,68215.837998867,bawang_merah,naive_drift,tervalidasi,False
2026-09-13,54677.03549060543,40533.19844347495,68820.87253773591,bawang_merah,naive_drift,tervalidasi,False
2026-06-21,28187.160751565763,25286.453025117884,31087.868478013643,bawang_putih,naive_drift,tervalidasi,True
2026-06-28,28174.321503131523,24072.101295908506,32276.54171035454,bawang_putih,naive_drift,tervalidasi,True
2026-07-05,28161.482254697286,23137.309094581957,33185.655414812616,bawang_putih,naive_drift,tervalidasi,False
2026-07-12,28148.64300626305,22347.22755336729,33950.058459158805,bawang_putih,naive_drift,tervalidasi,False
2026-07-19,28135.80375782881,21649.62409863249,34621.983417025134,bawang_putih,naive_drift,tervalidasi,False
2026-07-26,28122.964509394573,21017.71068664858,35228.21833214056,bawang_putih,naive_drift,tervalidasi,False
2026-08-02,28110.125260960333,20435.57399069567,35784.676531225,bawang_putih,naive_drift,tervalidasi,False
2026-08-09,28097.286012526096,19892.845598080065,36301.72642697213,bawang_putih,naive_drift,tervalidasi,False
2026-08-16,28084.44676409186,19382.32358474822,36786.5699434355,bawang_putih,naive_drift,tervalidasi,False
2026-08-23,28071.60751565762,18898.76427363368,37244.45075768156,bawang_putih,naive_drift,tervalidasi,False
2026-08-30,28058.768267223382,18438.209112110897,37679.32742233587,bawang_putih,naive_drift,tervalidasi,False
2026-09-06,28045.929018789146,17997.582698558486,38094.275339019805,bawang_putih,naive_drift,tervalidasi,False
2026-09-13,28033.089770354905,17574.439327512508,38491.74021319731,bawang_putih,naive_drift,tervalidasi,False
2026-06-21,41349.58747826989,31925.82215645491,50773.35280008487,cabai,prophet,tervalidasi,True
2026-06-28,41057.2559046926,27730.039177960607,54384.4726314246,cabai,prophet,tervalidasi,True
2026-07-05,40274.906982731576,23952.46664674236,56597.34731872079,cabai,prophet,tervalidasi,False
2026-07-12,39848.96698243033,21001.43633880037,58696.497626060285,cabai,prophet,tervalidasi,False
2026-07-19,40314.5832405877,19242.403377004226,61386.76310417117,cabai,prophet,tervalidasi,False
2026-07-26,41157.75999688572,18074.343502704112,64241.17649106732,cabai,prophet,tervalidasi,False
2026-08-02,41281.78459986224,16348.845144505238,66214.72405521925,cabai,prophet,tervalidasi,False
2026-08-09,40169.80313401881,13515.369680554813,66824.23658748281,cabai,prophet,tervalidasi,False
2026-08-16,38351.41793564755,10080.121970202614,66622.71390109249,cabai,prophet,tervalidasi,False
2026-08-23,36638.43353325277,6837.870981407781,66438.99608509775,cabai,prophet,tervalidasi,False
2026-08-30,35141.41585296517,3886.3221681420764,66396.50953778825,cabai,prophet,tervalidasi,False
2026-09-06,33346.51729334901,701.6366213705805,65991.39796532744,cabai,prophet,tervalidasi,False
2026-09-13,31148.82164576159,-2829.047429981718,65126.6907215049,cabai,prophet,tervalidasi,False
2026-06-21,14810.855949895617,14681.628740988064,14940.083158803169,padi,naive_drift,tervalidasi,True
2026-06-28,14821.711899791231,14638.95702832655,15004.466771255913,padi,naive_drift,tervalidasi,True
2026-07-05,14832.567849686848,14608.73975813865,15056.395941235045,padi,naive_drift,tervalidasi,False
2026-07-12,14843.423799582464,14584.96938176736,15101.878217397569,padi,naive_drift,tervalidasi,False
2026-07-19,14854.279749478079,14565.318925818225,15143.240573137933,padi,naive_drift,tervalidasi,False
2026-07-26,14865.135699373695,14548.594976666147,15181.676422081244,padi,naive_drift,tervalidasi,False
2026-08-02,14875.991649269312,14534.088591876938,15217.894706661686,padi,naive_drift,tervalidasi,False
2026-08-09,14886.847599164927,14521.337856235563,15252.35734209429,padi,naive_drift,tervalidasi,False
2026-08-16,14897.703549060543,14510.021922337886,15285.3851757832,padi,naive_drift,tervalidasi,False
2026-08-23,14908.559498956158,14499.907183141893,15317.211814770422,padi,naive_drift,tervalidasi,False
2026-08-30,14919.415448851774,14490.81728420055,15348.013613502999,padi,naive_drift,tervalidasi,False
2026-09-06,14930.27139874739,14482.615215650994,15377.927581843787,padi,naive_drift,tervalidasi,False
2026-09-13,14941.127348643005,14475.19202074173,15407.062676544281,padi,naive_drift,tervalidasi,False
2026-06-21,18504.90605427975,18219.676823921553,18790.135284637945,tebu,naive_drift,tervalidasi,True
2026-06-28,18509.812108559498,18106.437062601697,18913.187154517298,tebu,naive_drift,tervalidasi,True
2026-07-05,18514.71816283925,18020.686644055088,19008.749681623412,tebu,naive_drift,tervalidasi,False
2026-07-12,18519.624217119,17949.165756402606,19090.08267783539,tebu,naive_drift,tervalidasi,False
2026-07-19,18524.530271398748,17886.738323147874,19162.32221964962,tebu,naive_drift,tervalidasi,False
2026-07-26,18529.436325678496,17830.770251574155,19228.102399782838,tebu,naive_drift,tervalidasi,False
2026-08-02,18534.342379958245,17779.696769784106,19288.987990132384,tebu,naive_drift,tervalidasi,False
2026-08-09,18539.248434237998,17732.498342322397,19345.9985261536,tebu,naive_drift,tervalidasi,False
2026-08-16,18544.154488517746,17688.46679744316,19399.84217959233,tebu,naive_drift,tervalidasi,False
2026-08-23,18549.060542797495,17647.086519608754,19451.034565986236,tebu,naive_drift,tervalidasi,False
2026-08-30,18553.966597077244,17607.968260737263,19499.964933417225,tebu,naive_drift,tervalidasi,False
2026-09-06,18558.872651356993,17570.809613788668,19546.935688925318,tebu,naive_drift,tervalidasi,False
2026-09-13,18563.77870563674,17535.37009031914,19592.187320954345,tebu,naive_drift,tervalidasi,False
2026-01-01,6040.941649899397,5500.335121711954,6581.5481780868395,jagung,naive_drift,tervalidasi,True
2026-02-01,6062.204728370221,5297.671644300108,6826.737812440335,jagung,naive_drift,tervalidasi,True
2026-03-01,6083.467806841047,5147.109833116981,7019.825780565113,jagung,naive_drift,tervalidasi,True
2026-04-01,6104.730885311871,5023.517828936987,7185.943941686755,jagung,naive_drift,ekstrapolasi,True
2026-05-01,6125.9939637826965,4917.161017675419,7334.826909889974,jagung,naive_drift,ekstrapolasi,True
2026-06-01,6147.257042253521,4823.046896576756,7471.467187930286,jagung,naive_drift,ekstrapolasi,True
2026-07-01,6168.520120724346,4738.209690002344,7598.830551446348,jagung,naive_drift,ekstrapolasi,True
2026-08-01,6189.783199195172,4660.7170310549445,7718.849367335399,jagung,naive_drift,ekstrapolasi,False
2026-09-01,6211.046277665996,4589.226693103669,7832.865862228323,jagung,naive_drift,ekstrapolasi,False
2026-10-01,6232.309356136821,4522.761409108485,7941.857303165158,jagung,naive_drift,ekstrapolasi,False
2026-01-01,8000.0,7323.3814067502635,8676.618593249737,kedelai,naive,tervalidasi,True
2026-02-01,8000.0,7043.116808872418,8956.883191127583,kedelai,naive,tervalidasi,True
2026-03-01,8000.0,6828.062219145676,9171.937780854323,kedelai,naive,tervalidasi,True
2026-04-01,8000.0,6646.762813500527,9353.237186499473,kedelai,naive,ekstrapolasi,True
2026-05-01,8000.0,6487.034830653309,9512.965169346691,kedelai,naive,ekstrapolasi,True
2026-06-01,8000.0,6342.629696058387,9657.370303941612,kedelai,naive,ekstrapolasi,True
2026-07-01,8000.0,6209.8354698188305,9790.16453018117,kedelai,naive,ekstrapolasi,True
2026-08-01,8000.0,6086.233617744836,9913.766382255164,kedelai,naive,ekstrapolasi,False
2026-09-01,8000.0,5970.14422025079,10029.85577974921,kedelai,naive,ekstrapolasi,False
2026-10-01,8000.0,5860.344138111803,10139.655861888197,kedelai,naive,ekstrapolasi,False
